,Berlin,Paris,Rome,Madrid,Warsaw,Bucharest,Amsterdam,Brussels,Athens,Prague,Stockholm,Lisbon,Budapest,Vienna,Sofia,Copenhagen,Helsinki,Bratislava,Dublin,Zagreb,Vilnius,Ljubljana,Riga,Tallinn,Nicosia,Luxembourg,Valletta
Berlin,0.0,876.0,1181.0,1866.0,518.0,1295.0,573.0,648.0,1804.0,280.0,811.0,2310.0,689.0,524.0,1319.0,355.0,1106.0,552.0,1314.0,769.0,819.0,723.0,845.0,1042.0,2490.0,600.0,1850.0
Paris,876.0,0.0,1105.0,1051.0,1367.0,1870.0,430.0,263.0,2097.0,883.0,1544.0,1452.0,1245.0,1033.0,1758.0,1027.0,1908.0,1088.0,779.0,1079.0,1695.0,964.0,1703.0,1858.0,2950.0,287.0,1749.0
Rome,1181.0,1105.0,0.0,1363.0,1315.0,1137.0,1295.0,1172.0,1052.0,921.0,1975.0,1863.0,809.0,763.0,894.0,1531.0,2201.0,783.0,1884.0,515.0,1701.0,488.0,1865.0,2124.0,1956.0,988.0,690.0
Madrid,1866.0,1051.0,1363.0,0.0,2289.0,2471.0,1481.0,1315.0,2369.0,1771.0,2592.0,504.0,1974.0,1807.0,2252.0,2071.0,2947.0,1857.0,1450.0,1699.0,2659.0,1596.0,2712.0,2892.0,3283.0,1278.0,1665.0
Warsaw,518.0,1367.0,1315.0,2289.0,0.0,945.0,1092.0,1159.0,1599.0,517.0,810.0,2759.0,544.0,556.0,1074.0,671.0,914.0,532.0,1825.0,803.0,392.0,834.0,560.0,833.0,2134.0,1080.0,1887.0
Bucharest,1295.0,1870.0,1137.0,2471.0,945.0,0.0,1786.0,1769.0,744.0,1079.0,1743.0,2975.0,642.0,856.0,295.0,1574.0,1751.0,804.0,2536.0,809.0,1142.0,924.0,1398.0,1670.0,1201.0,1613.0,1365.0
Amsterdam,573.0,430.0,1295.0,1481.0,1092.0,1786.0,0.0,173.0,2164.0,709.0,1125.0,1863.0,1145.0,935.0,1743.0,620.0,1500.0,984.0,756.0,1084.0,1365.0,988.0,1330.0,1456.0,2945.0,318.0,1981.0
Brussels,648.0,263.0,1172.0,1315.0,1159.0,1769.0,173.0,0.0,2089.0,717.0,1280.0,1712.0,1129.0,914.0,1697.0,765.0,1647.0,966.0,775.0,1023.0,1464.0,917.0,1454.0,1599.0,2901.0,186.0,1850.0
Athens,1804.0,2097.0,1052.0,2369.0,1599.0,744.0,2164.0,2089.0,0.0,1534.0,2408.0,2853.0,1125.0,1283.0,526.0,2137.0,2469.0,1251.0,2855.0,1081.0,1862.0,1176.0,2109.0,2387.0,914.0,1907.0,851.0
Prague,280.0,883.0,921.0,1771.0,517.0,1079.0,709.0,717.0,1534.0,0.0,1054.0,2243.0,443.0,251.0,1065.0,634.0,1302.0,289.0,1464.0,488.0,895.0,447.0,994.0,1230.0,2255.0,597.0,1577.0
Stockholm,811.0,1544.0,1975.0,2592.0,810.0,1743.0,1125.0,1280.0,2408.0,1054.0,0.0,2988.0,1317.0,1242.0,1884.0,522.0,395.0,1245.0,1627.0,1510.0,674.0,1495.0,442.0,378.0,2907.0,1323.0,2619.0
Lisbon,2310.0,1452.0,1863.0,504.0,2759.0,2975.0,1863.0,1712.0,2853.0,2243.0,2988.0,0.0,2471.0,2298.0,2755.0,2477.0,3360.0,2348.0,1640.0,2200.0,3119.0,2096.0,3151.0,3311.0,3764.0,1711.0,2110.0
Budapest,689.0,1245.0,809.0,1974.0,544.0,642.0,1145.0,1129.0,1125.0,443.0,1317.0,2471.0,0.0,215.0,630.0,1012.0,1459.0,162.0,1894.0,301.0,908.0,382.0,1104.0,1378.0,1812.0,978.0,1343.0
Vienna,524.0,1033.0,763.0,1807.0,556.0,856.0,935.0,914.0,1283.0,251.0,1242.0,2298.0,215.0,0.0,817.0,870.0,1440.0,55.0,1681.0,268.0,947.0,277.0,1102.0,1362.0,2013.0,763.0,1377.0
Sofia,1319.0,1758.0,894.0,2252.0,1074.0,295.0,1743.0,1697.0,526.0,1065.0,1884.0,2755.0,630.0,817.0,0.0,1636.0,1946.0,775.0,2472.0,679.0,1341.0,793.0,1585.0,1863.0,1204.0,1526.0,1070.0
Copenhagen,355.0,1027.0,1531.0,2071.0,671.0,1574.0,620.0,765.0,2137.0,634.0,522.0,2477.0,1012.0,870.0,1636.0,0.0,882.0,892.0,1237.0,1122.0,812.0,1078.0,725.0,836.0,2775.0,801.0,2204.0
Helsinki,1106.0,1908.0,2201.0,2947.0,914.0,1751.0,1500.0,1647.0,2469.0,1302.0,395.0,3360.0,1459.0,1440.0,1946.0,882.0,0.0,1428.0,2022.0,1702.0,609.0,1712.0,361.0,82.0,2845.0,1669.0,2800.0
Bratislava,552.0,1088.0,783.0,1857.0,532.0,804.0,984.0,966.0,1251.0,289.0,1245.0,2348.0,162.0,55.0,775.0,892.0,1428.0,0.0,1732.0,274.0,920.0,305.0,1085.0,1349.0,1968.0,818.0,1379.0
Dublin,1314.0,779.0,1884.0,1450.0,1825.0,2536.0,756.0,775.0,2855.0,1464.0,1627.0,1640.0,1894.0,1681.0,2472.0,1237.0,2022.0,1732.0,0.0,1797.0,2047.0,1689.0,1953.0,2002.0,3676.0,950.0,2523.0
Zagreb,769.0,1079.0,515.0,1699.0,803.0,809.0,1084.0,1023.0,1081.0,488.0,1510.0,2200.0,301.0,268.0,679.0,1122.0,1702.0,274.0,1797.0,0.0,1186.0,116.0,1359.0,1624.0,1880.0,847.0,1109.0
Vilnius,819.0,1695.0,1701.0,2659.0,392.0,1142.0,1365.0,1464.0,1862.0,895.0,674.0,3119.0,908.0,947.0,1341.0,812.0,609.0,920.0,2047.0,1186.0,0.0,1224.0,260.0,528.0,2258.0,1417.0,2247.0
Ljubljana,723.0,964.0,488.0,1596.0,834.0,924.0,988.0,917.0,1176.0,447.0,1495.0,2096.0,382.0,277.0,793.0,1078.0,1712.0,305.0,1689.0,116.0,1224.0,0.0,1379.0,1636.0,1991.0,739.0,1129.0
Riga,845.0,1703.0,1865.0,2712.0,560.0,1398.0,1330.0,1454.0,2109.0,994.0,442.0,3151.0,1104.0,1102.0,1585.0,725.0,361.0,1085.0,1953.0,1359.0,260.0,1379.0,0.0,279.0,2518.0,1440.0,2448.0
Tallinn,1042.0,1858.0,2124.0,2892.0,833.0,1670.0,1456.0,1599.0,2387.0,1230.0,378.0,3311.0,1378.0,1362.0,1863.0,836.0,82.0,1349.0,2002.0,1624.0,528.0,1636.0,279.0,0.0,2769.0,1614.0,2720.0
Nicosia,2490.0,2950.0,1956.0,3283.0,2134.0,1201.0,2945.0,2901.0,914.0,2255.0,2907.0,3764.0,1812.0,2013.0,1204.0,2775.0,2845.0,1968.0,3676.0,1880.0,2258.0,1991.0,2518.0,2769.0,0.0,2728.0,1705.0
Luxembourg,600.0,287.0,988.0,1278.0,1080.0,1613.0,318.0,186.0,1907.0,597.0,1323.0,1711.0,978.0,763.0,1526.0,801.0,1669.0,818.0,950.0,847.0,1417.0,739.0,1440.0,1614.0,2728.0,0.0,1669.0
Valletta,1850.0,1749.0,690.0,1665.0,1887.0,1365.0,1981.0,1850.0,851.0,1577.0,2619.0,2110.0,1343.0,1377.0,1070.0,2204.0,2800.0,1379.0,2523.0,1109.0,2247.0,1129.0,2448.0,2720.0,1705.0,1669.0,0.0
